CONTEXT,HYPOTHESIS,LABEL,CONTEXT_FROM,HYPOTHESIS_FROM,SUBSET
Four couple performing dance routines is colorful green and white costumes .,The routines are available .,4,SNLI-train,AGCI-WK,AGCI
"Two construction workers working on infrastructure , while one worker takes a break .",The infrastructure has to be determined .,3,SNLI-train,AGCI-WK,AGCI
A person wearing a long-sleeved white shirt is weaving with yellow thread .,A person keeps the thread .,3,SNLI-train,AGCI-WK,AGCI
The man is standing behind his opened back hatch of his vehicle .,A person sets up the hatch .,3,SNLI-train,AGCI-WK,AGCI
A little girl holding a chicken nugget with chopsticks .,The nugget is a hunk .,2,SNLI-train,AGCI-WK,AGCI
I saw a penny lying there on the ground,"After all, it could perhaps mean good luck.",3,ROCStories-1st,ROCStories-3rd,ROC
Jojo wanted to go to the top of the sears tower,The tower loses a contact .,2,ROCStories,AGCI-WK,AGCI
Bonnie and Susie worked all morning to make lemonade,They had a stand set up outside to sell it.,3,ROCStories-1st,ROCStories-2nd,ROC
"A red-sleeved man has thrown down , in a sparring manner , a gentleman with blue sleeves .",The manner is a property .,1,SNLI-train,AGCI-WK,AGCI
This is a broadcasting show where every newscaster is presentable before they start a news-casting show,A minister sues the newscaster .,3,SNLI-train,AGCI-WK,AGCI
I drank a cup of coffee.,My yawning ceased.,4,COPA-premise,COPA-effect,COPA
a boy enjoys a rain shower .,The shower is safe .,3,SNLI-train,AGCI-WK,AGCI
A trader yells on the floor of an exchange .,The trader dies .,2,SNLI-train,AGCI-WK,AGCI
Bob loved to draw pictures of people he knew,The pictures are a representation .,5,ROCStories,AGCI-WK,AGCI
A man is using a grinder on a locker's lock,a man is using a tool .,5,SNLI-train,AGCI-NN,AGCI
A man on a city street is taking a photograph of someone dressed up like a spaceman.,a man is on a street .,5,SNLI-train,AGCI-NN,AGCI
A chef cuts into a large fowl with a big cleaver while in the kitchen .,The fowl is meat .,5,SNLI-train,AGCI-WK,AGCI
A bullfighter skewers his prey just as he 's hit by the bull .,The bullfighter is a person .,5,SNLI-train,AGCI-WK,AGCI
"Two young men walk through a fairgrounds , one pushing a covered stroller and the other carrying a large stuffed animal and pink pillow .",The fairgrounds are a tract .,3,SNLI-train,AGCI-WK,AGCI
People wonder why rappers move to Europe,The move is justified .,3,ROCStories,AGCI-WK,AGCI
People gather around a car wash .,A person is proud of the wash .,3,SNLI-train,AGCI-WK,AGCI
A man with a black t-shirt on with adidas written across the front and a woman with a white t-shirt on and a silver bangle on her left wrist sitting next to their bike on the ground in the park eating ice cream while people enjoy themselves all around them,The bangle is an adornment .,4,SNLI-train,AGCI-WK,AGCI
"A lot of people gather together to get some free advice , and information .",A person seeks the advice .,3,SNLI-train,AGCI-WK,AGCI
A band is practicing for their next gig .,A person lands the gig .,3,SNLI-train,AGCI-WK,AGCI
People sitting outside a house enjoying wine .,A person tastes the wine .,5,SNLI-train,AGCI-WK,AGCI
A woman in a long black burqa walks toward a shopping area while a short-haired man with a beard walks beside her .,The burqa is a islamic veil .,3,SNLI-train,AGCI-WK,AGCI
Bob got a Rubik 's cube for Christmas,An inflation erodes about the cube .,1,ROCStories,AGCI-WK,AGCI
A woman sits in front of a weaving set up and looks at her hands .,The weaving can thrill .,2,SNLI-train,AGCI-WK,AGCI
"A young boy wearing over-sized blue tank top and shorts, and a red and blue cap, is looking through the viewfinder on a camera placed on a tripod.",a child is wearing shorts and a blue camera .,5,SNLI-train,AGCI-NN,AGCI
A child and a parent or older sibling going for a hike .,The hike is safe .,3,SNLI-test,AGCI-WK,AGCI
Joey decides he would like to learn how to dance,The dance shows off an air .,1,ROCStories,AGCI-WK,AGCI
One day Jordyn was watching her fish Richard - swim - in his tank,"Grabbing her purse, Jordyn ran to her car and drove to the petstore.",3,ROCStories-1st,ROCStories-3rd,ROC
Laney was making toast,The toast is bread .,5,ROCStories,AGCI-WK,AGCI
An audience listens to a musical ensemble play in front of a pipe organ in an ornate performance hall .,The hall is a room .,5,SNLI-train,AGCI-WK,AGCI
"Three young men in blue jeans are gathered inside a wood-paneled room , one of them handling a crossbow .",An inmate constructs the crossbow .,3,SNLI-dev,AGCI-WK,AGCI
Some girls like - Linda only - go on the internet to post pictures,The internet breaks down .,2,ROCStories,AGCI-WK,AGCI
The family decided to go on a picnic,The picnic has a purpose .,3,ROCStories,AGCI-WK,AGCI
A group of people are listening to a man with a moustache speak into a microphone .,A guy has the moustache .,5,SNLI-train,AGCI-WK,AGCI
Orange steamroller crushing sub-pavement while doing street repair on a closed and torn up city street .,The repair is an improvement .,4,SNLI-train,AGCI-WK,AGCI
Workers pull a template off a truck .,The template is restricted to a member .,2,SNLI-train,AGCI-WK,AGCI
"A young man is swinging his tennis racket with control , and persistence",The persistence is necessary .,4,SNLI-train,AGCI-WK,AGCI
Jojo wanted to go to the top of the sears tower,Jojo bought a plane ticket to chicago.,3,ROCStories-1st,ROCStories-3rd,ROC
"Two young boys playing football , running at full speed ; one with a white jersey and the other a blue jersey .",The speed is a drug of abuse .,1,SNLI-train,AGCI-WK,AGCI
One male and two females -LRB- both in swimsuits -RRB- are standing next to a sand castle at the beach .,A person sacrifices the castle .,2,SNLI-train,AGCI-WK,AGCI
a bad neighbor hood were there is vandalism on the buildings,The vandalism is reported .,4,SNLI-train,AGCI-WK,AGCI
Ronald was chosen as a keynote speaker at a conference,The speaker is an electro-acoustic transducer .,1,ROCStories,AGCI-WK,AGCI
The bruins play hockey against an opposing team .,A person is built like the bruins .,2,SNLI-train,AGCI-WK,AGCI
"A snowboarder in the air , with a colorfully-decorated board .",The board consists of a pair .,1,SNLI-train,AGCI-WK,AGCI
Arin was driving his new motorcycle,A person falls off the motorcycle .,3,ROCStories,AGCI-WK,AGCI
"A person dressed in a dress with flowers and a stuffed bee attached to it , is pushing a baby stroller down the street .",A person identifies the bee .,3,SNLI-test,AGCI-WK,AGCI
A black woman in winter clothes standing in a building entry .,The entry is cancelled due to a fog .,1,SNLI-train,AGCI-WK,AGCI
Two bulls pulling a muddy man behind them while mud droplets spray .,The droplets kill an adult .,1,SNLI-train,AGCI-WK,AGCI
A man wearing a short-sleeved blue shirt and carrying a blue backpack while using snow walking sticks treks through the snow with a woman wearing a long-sleeved blue shirt and black pants also using snow walking sticks .,A person curtails the treks .,2,SNLI-test,AGCI-WK,AGCI
"A small boy is smiling while licking a blue , heart shaped sucker .",A person deserves the sucker .,3,SNLI-train,AGCI-WK,AGCI
A group of people ordering sweets at a fair in the evening .,Guests bring the sweets .,2,SNLI-train,AGCI-WK,AGCI
Many people are walking through a tourist attraction .,The attraction is mutual .,1,SNLI-train,AGCI-WK,AGCI
Two collegiate women 's basketball teams competing for a rebound .,The rebound is involuntary .,2,SNLI-train,AGCI-WK,AGCI
Demonstrators are standing behind a low fence while protesting for freedom in Gaza .,The demonstrators are a salesperson .,2,SNLI-train,AGCI-WK,AGCI
The man drank heavily at the party.,He had a runny nose the next day.,3,COPA-premise,COPA-effect,COPA
My son and I drove to the shelter to adopt a new cat,The shelter is included .,1,ROCStories,AGCI-WK,AGCI
Ky just began working in a new position,The position is a role .,5,ROCStories,AGCI-WK,AGCI
Children playing on a roundabout.,kids playing outside .,5,SNLI-train,AGCI-NN,AGCI
An adult is attending to child on a crowded path surrounding a body of water .,The path is a course .,5,SNLI-train,AGCI-WK,AGCI
My niece 's boyfriend got out on parole,He went to live with her.,3,ROCStories-1st,ROCStories-2nd,ROC
two african-Americans stand in front of the building .,The african-Americans are an american .,5,SNLI-train,AGCI-WK,AGCI
A man wearing a red jacket looks at a paper while another man in a black jacket looks at the camera in a snow-covered field .,The paper is a product .,3,SNLI-train,AGCI-WK,AGCI
A family sits in a conservatory with lawn chairs and has a picnic .,A person graduates from the conservatory .,2,SNLI-train,AGCI-WK,AGCI
"In the 2012 london olympics , two women , one from great britain are sparring in a match watched by two judges and many other people .",The match is a lighter .,2,SNLI-train,AGCI-WK,AGCI
A trainer runs next to his dog as it jumps through multiple hoops .,The trainer dies .,2,SNLI-dev,AGCI-WK,AGCI
The scientist looked at his data and sighed,The results did not prove what he wanted.,5,ROCStories-1st,ROCStories-2nd,ROC
Martha had an awful toothache,Police have the toothache .,1,ROCStories,AGCI-WK,AGCI
A man being dipped by a woman in a mirrored dance studio .,A person improves the studio .,3,SNLI-train,AGCI-WK,AGCI
Annie begged her parents for a pet of her own,The pet is a lover .,2,ROCStories,AGCI-WK,AGCI
Sally was emptying out the cat litter,The litter is replaced .,4,ROCStories,AGCI-WK,AGCI
Female singer and guitarist is performing in front of a background with colorful images .,The singer has a fortune .,3,SNLI-train,AGCI-WK,AGCI
A welder is working outside by some concrete ruble,The welder finds a person .,3,SNLI-dev,AGCI-WK,AGCI
Two white males playing squash or something with a small ball and a each have a paddle .,A person buys the squash .,1,SNLI-train,AGCI-WK,AGCI
The cricketer is swinging a bat in the air .,The cricketer commits a violation .,3,SNLI-train,AGCI-WK,AGCI
An old woman with pink sunglasses is holding two magazines in a busy street .,The magazines are press .,4,SNLI-train,AGCI-WK,AGCI
A girl in a pink striped shirt is in front of an armoire .,The armoire is a wardrobe .,5,SNLI-train,AGCI-WK,AGCI
A lady in red pinstripes is surrounded by people taking pictures .,The pinstripes are a fabric .,4,SNLI-train,AGCI-WK,AGCI
A woman looking at a stranger through the glass of the bus .,The stranger arrives .,4,SNLI-train,AGCI-WK,AGCI
A woman in black walking along a waterway .,A person gives up the walking .,3,SNLI-train,AGCI-WK,AGCI
"A man in t-shirt and shorts kneels near a line of plastic crates containing duct tape , bags , and other supplies .",The tape is a recording .,1,SNLI-train,AGCI-WK,AGCI
The two girls ride together on the bicycle while sightseeing .,The sightseeing is to continue with a tour .,3,SNLI-train,AGCI-WK,AGCI
Two male guitarists and a male trombonist play music on a stage while someone in the foreground takes a picture of them .,The trombonist fashions a music .,1,SNLI-train,AGCI-WK,AGCI
Several people are going to eat tripe .,The tripe is a drivel .,1,SNLI-train,AGCI-WK,AGCI
Two young girls are positioned behind a table covered in various toys and miniatures .,A person is the proud owner of the miniatures .,4,SNLI-train,AGCI-WK,AGCI
Two young boys watch something while eating popcorn and sitting in beanbag chairs .,A person changes the popcorn .,2,SNLI-train,AGCI-WK,AGCI
A man in a green shirt and beige cap is standing in a household .,The household is a unit .,4,SNLI-train,AGCI-WK,AGCI
Two young men write in their journals in an airport .,The journals are an axle .,1,SNLI-train,AGCI-WK,AGCI
Young lady in bikini lying on the beach,The bikini is a swimsuit .,5,SNLI-train,AGCI-WK,AGCI
A young blond child wearing only a diaper sits on a large rock at the edge of a body of water while a large black dog stands in the water nearby .,A person has to change the diaper .,4,SNLI-dev,AGCI-WK,AGCI
Lola was building a snow igloo in her yard,The igloo is a hovel .,4,ROCStories,AGCI-WK,AGCI
It was Ben 's first time at the casino,The casino is a gambling house .,5,ROCStories,AGCI-WK,AGCI
I was walking to the christmas parade when I was twelve,A person marches in the parade .,5,ROCStories,AGCI-WK,AGCI
Young families watch a military procession in a parade .,The families are the first .,1,SNLI-train,AGCI-WK,AGCI
Boy in yellow tank top laughing on a beach .,The tank is a freight car .,2,SNLI-train,AGCI-WK,AGCI
"Jimi Hendrix , in a signature blue outfit with red and white fringe , jams away on his electric guitar .",The fringe is a city district .,3,SNLI-train,AGCI-WK,AGCI
woman moving a shuttle through a loom,The shuttle is affected .,1,SNLI-train,AGCI-WK,AGCI
Two weary looking men in a boxing match both have one glove under their chin and the other touching the other man's head.,two men are wearing fencing .,1,SNLI-train,AGCI-NN,AGCI
A daredevil in a red shirt taking a jump .,The daredevil is in a coma for days .,2,SNLI-train,AGCI-WK,AGCI
A pedicab driving sitting on the side and waiting for his next customer .,A person dresses the pedicab .,2,SNLI-train,AGCI-WK,AGCI
A man and woman dressed in costume pose for the camera .,The camera is television equipment .,3,SNLI-train,AGCI-WK,AGCI
There is staging and men working on platform 2 at the Burnt Oak underground stop .,A banker climbs the staging .,3,SNLI-train,AGCI-WK,AGCI
A motocross rider riding his bike on a track in front of a small crowd .,A page centerpiece on the rider .,1,SNLI-train,AGCI-WK,AGCI
My cousin wrenched her shoulder in 1996,A person loses the cousin .,2,ROCStories,AGCI-WK,AGCI
A few men are participating in MMA fighting .,People are injured in the fighting .,4,SNLI-train,AGCI-WK,AGCI
A man and a woman are sitting in a rowboat on calm water .,A blast damages the rowboat .,2,SNLI-train,AGCI-WK,AGCI
Jason lost his in the campus clinic,The clinic is a medical building .,5,ROCStories,AGCI-WK,AGCI
Seagulls fighting over a scrap of bread .,The scrap flares .,1,SNLI-train,AGCI-WK,AGCI
Rugby player in blue dives to tackle the ball carrier in white .,The dives is a descent .,2,SNLI-dev,AGCI-WK,AGCI
The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .,The pop teaches a person .,1,SNLI-train,AGCI-WK,AGCI
A church had a pipe organ that no one had played in years,The organ is removed .,3,ROCStories,AGCI-WK,AGCI
Tom decided he needed a joke for his work presentation,The presentation results in an endorsement .,2,ROCStories,AGCI-WK,AGCI
A girls ' volleyball teams shows emotion on the court .,The emotion is a feeling .,5,SNLI-train,AGCI-WK,AGCI
a young girl reading a literary classic '' to kill a mockingbird '' .,The mockingbird is required .,3,SNLI-train,AGCI-WK,AGCI
Two ice fishers watch on as a third attempts to cut out a portion of ice with a chainsaw .,The fishers are a skilled worker .,3,SNLI-dev,AGCI-WK,AGCI
An engineer with a blue jacket and cap wears purple gloves while looking up .,The engineer is a person .,5,SNLI-test,AGCI-WK,AGCI
I pounded the nail with the hammer.,The nail sunk into the wood.,5,COPA-premise,COPA-effect,COPA
Disaster workers in camouflage have been working hard to clean up after the tornado .,The tornado is a cyclone .,5,SNLI-train,AGCI-WK,AGCI
"A man with an orange jacket , takes the photo of four women , and a man in a greenish yellow suite .",The suite is furnished .,5,SNLI-dev,AGCI-WK,AGCI
Greta had noticed her son was having trouble focusing in school,Greta took her son to the doctor.,5,ROCStories-1st,ROCStories-2nd,ROC
Four military servicemen in a boat are attempting to attach a stairway to a larger vessel next to them .,A job materializes for the servicemen .,3,SNLI-train,AGCI-WK,AGCI
A man plays the french horn as his pianist plays the supporting melody on stage .,The melody is a music .,5,SNLI-dev,AGCI-WK,AGCI
A woman wearing a yellow and white outfit is exiting the vehicle while using city transportation .,The transportation is a facility .,3,SNLI-dev,AGCI-WK,AGCI
The skateboarder in a white t-shirt and blue cap sits on his board and coasts down the gentle grade .,The grade signs a contract .,1,SNLI-train,AGCI-WK,AGCI
The Raiders complete the pass while the Dolphin defense scrambles to catch him .,The defense appears to be a acknowledgment .,1,SNLI-dev,AGCI-WK,AGCI
"The three cats , two white with calico accents and a gray tabby , are laying in the brown grass .",The tabby is triggered by stress .,3,SNLI-train,AGCI-WK,AGCI
"Two men are wearing helmets , while one of them holds a bullhorn .",The bullhorn is a loudspeaker .,5,SNLI-train,AGCI-WK,AGCI
Young lady lost her connection to Hawaii .,The connection is broken .,3,SNLI-train,AGCI-WK,AGCI
Val 's mother came to her school to talk to the principal,The principal wears a face .,5,ROCStories,AGCI-WK,AGCI
A girl in a pink striped shirt is in front of an armoire .,The armoire features a bar .,1,SNLI-train,AGCI-WK,AGCI
Bill 's sister recently gave birth and - he wanted to give a new toy,A person never play with the toy .,1,ROCStories,AGCI-WK,AGCI
Debbie was pretty fed up with her french press coffee maker,The maker reports a profit .,1,ROCStories,AGCI-WK,AGCI
"A small boy on a patio leans into a large portable telescope , looking into the eyepiece .",A person looks into the eyepiece .,5,SNLI-train,AGCI-WK,AGCI
A child in a baseball park who has just hit a baseball off a tee with a blue bat and is about to run to first base .,Police defuse the tee .,1,SNLI-dev,AGCI-WK,AGCI
Two children play in the melting slush .,The slush is new .,3,SNLI-train,AGCI-WK,AGCI
"A surfer riding the great waves in the ocean , fearless of the consequences .",The consequences are a significance .,4,SNLI-train,AGCI-WK,AGCI
Girl doing yoga on a cliff .,The cliff is a geological formation .,5,SNLI-train,AGCI-WK,AGCI
"Two male curling players are on ice sweeping the path in front of polished rock , a small crowd watches .",The sweeping is a run .,2,SNLI-dev,AGCI-WK,AGCI
In a small village a Man sets sail along the Swamp .,The village is destroyed .,2,SNLI-test,AGCI-WK,AGCI
A basketball player with several blockers .,A person is used as the blockers .,3,SNLI-train,AGCI-WK,AGCI
Three men wearing Canadian military fatigues and a fourth man wearing blue shorts and a red t-shirt stand side-by-side ; two men hold shears for a ribbon cutting .,A person packs the shears .,3,SNLI-train,AGCI-WK,AGCI
Woman tennis player strains to return ball .,The strains are brought on by stress .,2,SNLI-train,AGCI-WK,AGCI
Workers in front of a white cement mixing truck are laying new cement in front of a multistory brick building .,The cement is added .,4,SNLI-train,AGCI-WK,AGCI
A scruffy golden dog meeting a black Doberman in the snow .,A friend has the Doberman .,2,SNLI-train,AGCI-WK,AGCI
Kris was a smart guy,The guy is an effigy .,1,ROCStories,AGCI-WK,AGCI
Seven people got stuck in an elevator when the power went out,A person thanks the power .,2,ROCStories,AGCI-WK,AGCI
A man scuba diving on a coral reef.,the man is scuba diving .,5,SNLI-train,AGCI-NN,AGCI
In 2014 the City of Boston erected a statue of Edgar Allen Poe,The statue goes on a display .,5,ROCStories,AGCI-WK,AGCI
A diver underwater posing next to a large aquatic organism .,The organism evolves to a state .,1,SNLI-train,AGCI-WK,AGCI
The chair salesman came to town and set up a display,He put 100 chairs in a line on Main Street.,3,ROCStories-1st,ROCStories-2nd,ROC
Longhair cowboy plays guitar and drinks moonshine from a jug .,The moonshine grows .,1,SNLI-train,AGCI-WK,AGCI
"A red dog , jumping in midair , on a grassy backyard , shot from behind .",A person grips the behind .,1,SNLI-train,AGCI-WK,AGCI
An very nice capture of a soccer game going on between two men as the man from the team in black attempts to interrupt the red and white teams stride .,The capture is an acquiring .,5,SNLI-train,AGCI-WK,AGCI
Two men are throwing beanbags in the sand .,The beanbags have a capacity .,3,SNLI-train,AGCI-WK,AGCI
The little girl in yellow is touching the dad who has shaving cream on his face .,The dad asks a person .,3,SNLI-dev,AGCI-WK,AGCI
Two people in red shirts are sitting in a lifeguard lookout on the beach with a flag obscuring their faces .,The lookout has a catwalk .,3,SNLI-train,AGCI-WK,AGCI
A soccer player wearing bright green kicks a soccer ball so hard that it sends clumps of dirt and grass flying.,a soccer player is kicking a ball .,5,SNLI-train,AGCI-NN,AGCI
Anchors for local ABC affiliate Channel 7 news .,The affiliate develops fields .,2,SNLI-train,AGCI-WK,AGCI
When mike was little he had a pet chicken,The mike is an electro-acoustic transducer .,2,ROCStories,AGCI-WK,AGCI
I ran the ice cube under warm water.,The ice cube stuck to my fingers.,3,COPA-premise,COPA-effect,COPA
Two young girls listen to an elder .,The elder is an adult .,5,SNLI-train,AGCI-WK,AGCI
A man is holding a utensil and is getting ready to dig into a plate filled with food .,The utensil is a fork .,4,SNLI-train,AGCI-WK,AGCI
Five children playing soccer chase after a ball .,The chase gets off to a start .,2,SNLI-test,AGCI-WK,AGCI
A young boy dressed like a pirate is holding a sign with a skull and crossbones on it .,The crossbones are tough .,3,SNLI-train,AGCI-WK,AGCI
A man wearing a black shirt is DJing at a turntable .,The turntable is welded .,2,SNLI-train,AGCI-WK,AGCI
A woman works with cotton on a loom in an exotic setting .,People are made of the cotton .,1,SNLI-train,AGCI-WK,AGCI
"An elderly man in a white shirt looking at a webpage on his computer , in his office .",The webpage is poor .,3,SNLI-train,AGCI-WK,AGCI
A woman with tattoos and a black t-shirt smiles and talks to a man with a partially shaved head wearing shirt with the words ' hippie killer ' in white letters on it .,Divers capture the killer .,1,SNLI-dev,AGCI-WK,AGCI
The teacher announced that we 're going to learn how to draw shapes,A person wants to try the shapes .,2,ROCStories,AGCI-WK,AGCI
"A snow hut illuminated internally with a figure in a blue snowsuit standing at the entrance , in the background stands what appears to be a snowman .",A person stands by the hut .,4,SNLI-train,AGCI-WK,AGCI
I use a cane to walk,A person uses the cane .,5,ROCStories,AGCI-WK,AGCI
Mary wanted to take her children to the Aquarium during spring break,The break is a separation .,1,ROCStories,AGCI-WK,AGCI
Kim wanted to purchase new living room furniture,A person goes into the furniture .,1,ROCStories,AGCI-WK,AGCI
"It 's another day of celebration , with a parade and signs , with many people in attendance .",The celebration offers a opportunity .,1,SNLI-test,AGCI-WK,AGCI
"A small baby , possibly a newborn is being bathed by a person in blue scrubs wearing protective gloves .",The newborn heads toward a stairwell .,1,SNLI-dev,AGCI-WK,AGCI
Mark has always loved adventure,The adventure comes to an end .,3,ROCStories,AGCI-WK,AGCI
A motocross rider in white and red leans into a dirt berm on his cycle .,The berm is a ledge .,4,SNLI-train,AGCI-WK,AGCI
A man riding a motorcycle on a dirt road passing several junk or abandoned cars on the side of the road .,The junk is a boat .,2,SNLI-test,AGCI-WK,AGCI
Ben wanted to play baseball for his school,The baseball is a ball .,5,ROCStories,AGCI-WK,AGCI
With wide eyes she told me that the biopsy came back positive,The eyes are tough .,2,ROCStories,AGCI-WK,AGCI
The surfer caught the wave.,The wave carried her to the shore.,4,COPA-premise,COPA-effect,COPA
Man sitting on bench with suitcase waiting for his source of transportation .,A report quotes the source .,1,SNLI-test,AGCI-WK,AGCI
Tim was watching tv,The tv maintains a forecast .,3,ROCStories,AGCI-WK,AGCI
"A pair of athletes are in a kayak equipped with protective gear and oars, rowing down a rapid body of water in a blue and white kayak.",there are people in a kayak .,4,SNLI-train,AGCI-NN,AGCI
"A male practices BMX bike riding at and man made urban practice field with big lumps of dirt , water and a factory as a back drop .",The lumps are benign .,2,SNLI-train,AGCI-WK,AGCI
A large brown horse stands over a small black colt that is kneeling on the sand .,The colt is scratched .,3,SNLI-train,AGCI-WK,AGCI
My aunt took a family portrait of everyone at the party,The portrait is vague .,2,ROCStories,AGCI-WK,AGCI
A small child sitting on his knees on a white tile floor .,A person hurts the knees .,3,SNLI-train,AGCI-WK,AGCI
Person in pointed hat and face covered with green scarf poling boatload of stuff through water,The boatload is a large indefinite quantity .,3,SNLI-train,AGCI-WK,AGCI
A man wearing a short-sleeve shirt is crouched behind a yellow sunflower .,The sunflower shows up on a test .,2,SNLI-train,AGCI-WK,AGCI
Jeff 's family moved to a new city right before his freshman year,His dad mentioned that there were kids playing basketball at the park.,3,ROCStories-1st,ROCStories-3rd,ROC
"A group of Asian men on a busy and congested pedestrian thoroughfare , eating ice cream cones .",The thoroughfare is closed for hours .,2,SNLI-train,AGCI-WK,AGCI
A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .,The propane is purchased to run a machine .,3,SNLI-train,AGCI-WK,AGCI
Horace had always dreamed of owning his own coffee shop,He takes out a small business loan and finds a open retail space.,4,ROCStories-1st,ROCStories-2nd,ROC
The woman in the white dress looks very uncomfortable in the busy surroundings .,The surroundings are a geographical area .,5,SNLI-test,AGCI-WK,AGCI
Mommy put the baby in the high chair,The chair is emptied .,2,ROCStories,AGCI-WK,AGCI
I tipped the bottle.,The liquid in the bottle poured out.,5,COPA-premise,COPA-effect,COPA
"people lounge in a man made pool , next to a river",The lounge is a seat .,4,SNLI-train,AGCI-WK,AGCI
Every day John - would go to the river to catch some fish,"John always went early in the morning, but he always failed.",4,ROCStories-1st,ROCStories-2nd,ROC
farmers are performing their agriculture during the day .,People continue to make the agriculture .,3,SNLI-train,AGCI-WK,AGCI
A woman wearing a white shirt walks on the sidewalk with a large sweeper .,The sweeper calls police .,1,SNLI-train,AGCI-WK,AGCI
Nathan threw a quarter into a well,The well ruptures .,2,ROCStories,AGCI-WK,AGCI
A nurse checking the health of another woman in a medical clinic .,A person worries about the health .,3,SNLI-train,AGCI-WK,AGCI
A man with green pants sitting on a bench reading a publication .,The publication is a work .,5,SNLI-train,AGCI-WK,AGCI
A girl and a guy biking down a long strip of road with people jogging in the distance .,The strip is a part .,4,SNLI-dev,AGCI-WK,AGCI
A child holds sparklers in the dark .,The sparklers are a diamond .,1,SNLI-dev,AGCI-WK,AGCI
A lot of people are attending an aviation exposition .,The exposition is an explanation .,1,SNLI-train,AGCI-WK,AGCI
A man in a brown suit jacket is standing beside the ship 's helm .,The helm levels out .,2,SNLI-train,AGCI-WK,AGCI
People protest the atrocities of war .,The atrocities are inhumaneness .,4,SNLI-train,AGCI-WK,AGCI
A little girl falls to her knees in the sand and cries in agony .,Words express the agony .,4,SNLI-train,AGCI-WK,AGCI
A woman is playing the piano and singing in front of a crowd .,A person loves the piano .,3,SNLI-train,AGCI-WK,AGCI
One martial arts practitioner kicks another in the head .,The practitioner is required to have a degree .,2,SNLI-train,AGCI-WK,AGCI
Two dogs shake off water in an area with very little vegetation .,The vegetation is threatened .,3,SNLI-train,AGCI-WK,AGCI
A red-haired toddler wearing purple bangs a metal pot with a mallet .,The mallet is a sports implement .,2,SNLI-train,AGCI-WK,AGCI
Old woman chasing away two lambs with a broom .,The lambs are a young mammal .,5,SNLI-dev,AGCI-WK,AGCI
A person is being lifted out of the water with an old lifter .,The lifter is stripped of a medal .,1,SNLI-train,AGCI-WK,AGCI
"An orthodontist working on a patient , while a man holds the light .",A committee is formed by the orthodontist .,1,SNLI-train,AGCI-WK,AGCI
Katie loved to watch the beautiful ice skaters,The skaters test positive .,2,ROCStories,AGCI-WK,AGCI
two african-Americans stand in front of the building .,A ministry is headed by the african-Americans .,2,SNLI-train,AGCI-WK,AGCI
A group of workers stand and look into a large sinkhole .,The sinkhole is a natural depression .,4,SNLI-train,AGCI-WK,AGCI
"An open , low density street with a few residents observing the side of a building .",The residents are a doctor .,2,SNLI-train,AGCI-WK,AGCI
A number of people holding black trash bags walk along a beachfront including several young boys wearing royal blue t-shirts .,The beachfront is filled with vendors .,3,SNLI-train,AGCI-WK,AGCI
An older man is drinking orange juice at a restaurant .,The juice is a foodstuff .,5,SNLI-train,AGCI-WK,AGCI
Outlines of people looking into glass cases that are lining the walkway .,Police issue the outlines .,1,SNLI-train,AGCI-WK,AGCI
A body boarder with yellow flippers gets thrown around by a wave .,A person wants to wear the flippers .,3,SNLI-train,AGCI-WK,AGCI
"A young man with brown hair , a black shirt , and a backpack is holding a sign that reads '' Class war , Wanker . ''",People are killed in the war .,1,SNLI-train,AGCI-WK,AGCI
Two young boys playing hide and seek .,The hide is a body covering .,1,SNLI-train,AGCI-WK,AGCI
Mom woke Ryan up and told him there was no school today,Clones appear to be identical genetic copy of the mom .,1,ROCStories,AGCI-WK,AGCI
A man helps another man do a back flip in a yard .,The flip is a tumble .,5,SNLI-train,AGCI-WK,AGCI
A grizzly postman carries a flower and mail to deliver .,The postman is detained .,3,SNLI-train,AGCI-WK,AGCI
"Cubs fans have paper bags on their heads that spell out ""CUBS.""",a person is seen around .,3,SNLI-train,AGCI-NN,AGCI
Four people in orange vests in a blue inflatable boat with yellow paddles .,A person dresses the paddles .,2,SNLI-train,AGCI-WK,AGCI
A woman practices kickboxing with the aid of a punching bag .,The aid continues to strengthen .,3,SNLI-train,AGCI-WK,AGCI
"An older man holding a crook, outside, wearing a red embroidered hat with a black tassel hanging from it, red glasses, and red and gold embroidered vest over white robes",a man is holding a red sweater .,2,SNLI-train,AGCI-NN,AGCI
A little girl with curly hair sitting on a teeter totter .,The teeter plays out against a backdrop .,1,SNLI-train,AGCI-WK,AGCI
Gwen was tired of her marriage,She sought adventure and excitement.,3,ROCStories-1st,ROCStories-2nd,ROC
Woman reading a book with a grocery tote .,A person improves the grocery .,2,SNLI-test,AGCI-WK,AGCI
"In a train station , an attractive woman in a blue skirt and jacket , surrounded by her luggage , passes time with a crossword .",The crossword is a puzzle .,5,SNLI-train,AGCI-WK,AGCI
My car broke down on the highway,The tow truck came in about an hour.,4,ROCStories-1st,ROCStories-3rd,ROC
A young woman vibrantly frolicking on the coast in San Francisco .,The coast is a shore .,5,SNLI-train,AGCI-WK,AGCI
The car ran out of gas.,The driver picked up a hitchhiker.,2,COPA-premise,COPA-effect,COPA
